题目_小学,平面直角坐标系x轴y轴坐标点位置单位,平面直角坐标系,"平面直角坐标系由x轴和y轴组成，点的位置由坐标 \((x, y)\) 表示。例如，点 \((3, 4)\) 表示在x轴上向右3个单位，在y轴上向上4个单位。",
题目_小学,直线斜率倾斜程度计算公式点坐标,直线的斜率,"直线的斜率表示直线的倾斜程度，计算公式为 \(\frac{y_2 - y_1}{x_2 - x_1}\)。例如，通过点 \((1, 2)\) 和 \((3, 6)\) 的直线的斜率为 \(\frac{6 - 2}{3 - 1} = 2\)。",
题目_小学,直线的方程斜率y轴截距点,直线的方程,"直线的方程可以表示为 \(y = mx + b\)，其中 \(m\) 是斜率，\(b\) 是y轴截距。例如，斜率为2且通过点 \((1, 3)\) 的直线的方程为 \(y = 2x + 1\)。",
题目_小学,平行线垂直线斜率负倒数直线,平行线与垂直线,平行线的斜率相同，垂直线的斜率互为负倒数。例如，直线 \(y = 2x + 3\) 和 \(y = 2x - 1\) 平行，直线 \(y = 2x + 3\) 和 \(y = -\frac{1}{2}x + 4\) 垂直。,
题目_小学,多边形内角和公式边数三角形四边形,多边形的内角和,多边形的内角和可以通过公式 \((n - 2) \times 180^\circ\) 计算，其中 \(n\) 是边数。例如，三角形的内角和为 \(180^\circ\)，四边形的内角和为 \(360^\circ\)。,
题目_小学,圆周长面积半径\(2\pir\)\(\pir^2\),圆的周长与面积,圆的周长为 \(2\pi r\)，面积为 \(\pi r^2\)，其中 \(r\) 是半径。例如，半径为3的圆的周长为 \(6\pi\)，面积为 \(9\pi\)。,
题目_小学,比例尺相似图形地图距离实际距离比例对应边对应角相等,比例尺与相似图形,比例尺表示地图或图形上的距离与实际距离的比例。相似图形的对应边成比例，对应角相等。例如，比例尺为1:100的图形表示实际距离是图形上距离的100倍。,
题目_小学,数据收集整理统计学基础调查表格图表,数据的收集与整理,数据的收集与整理是统计学的基础。例如，通过调查收集数据，然后使用表格或图表整理数据。,
题目_小学,平均数中位数众数数据总和数据个数数据排序中间值出现次数最多,平均数、中位数和众数,"平均数是数据的总和除以数据个数，中位数是数据排序后的中间值，众数是数据中出现次数最多的值。例如，数据集 \{1, 2, 3, 4, 5\} 的平均数为3，中位数为3，众数不存在。",
题目_小学,概率事件可能性计算公式有利结果数总结果数骰子,概率的计算,概率是事件发生的可能性，计算公式为 \(\frac{\text{有利结果数}}{\text{总结果数}}\)。例如，掷一个骰子得到6的概率为 \(\frac{1}{6}\)。,
题目_小学,加法减法算术运算交换律结合律,加法与减法的性质,加法和减法是基本的算术运算。加法满足交换律（\(a + b = b + a\)）和结合律（\((a + b) + c = a + (b + c)\)）。减法不满足交换律和结合律。例如，\(3 + 4 = 4 + 3\) 和 \((2 + 3) + 4 = 2 + (3 + 4)\)。,
题目_小学,乘法除法交换律结合律,乘法与除法的性质,乘法满足交换律（\(a \times b = b \times a\)）和结合律（\((a \times b) \times c = a \times (b \times c)\)）。除法不满足交换律和结合律。例如，\(2 \times 3 = 3 \times 2\) 和 \((2 \times 3) \times 4 = 2 \times (3 \times 4)\)。,
题目_小学,乘法分配律\(a\times(b+c)=a\timesb+a\timesc\)234684,乘法分配律,乘法分配律是指 \(a \times (b + c) = a \times b + a \times c\)。例如，\(2 \times (3 + 4) = 2 \times 3 + 2 \times 4 = 6 + 8 = 14\)。,
题目_小学,因数倍数整除整数倍,因数与倍数,因数是能够整除一个数的数，倍数是一个数的整数倍。例如，6的因数有1、2、3和6，6的倍数有6、12、18等。,
题目_小学,质数合数因数本身,质数与合数,质数是只有1和它本身两个因数的数，合数是除了1和它本身还有其他因数的数。例如，2、3、5是质数，4、6、8是合数。,
题目_小学,最大公因数最小公倍数公共因数公共倍数,最大公因数与最小公倍数,最大公因数是两个或多个数的最大公共因数，最小公倍数是两个或多个数的最小公共倍数。例如，12和18的最大公因数是6，最小公倍数是36。,
题目_小学,分数的比较通分交叉相乘\(\frac{1}{2}\)\(\frac{2}{3}\)\(\frac{3}{6}\)\(\frac{4}{6}\),分数的比较,分数的比较可以通过通分或交叉相乘来完成。例如，比较 \(\frac{1}{2}\) 和 \(\frac{2}{3}\)，可以通分得到 \(\frac{3}{6}\) 和 \(\frac{4}{6}\)，因此 \(\frac{1}{2} < \frac{2}{3}\)。,
题目_小学,小数比较左到右每一位数字十分位,小数的比较,小数的比较从左到右依次比较每一位数字。例如，比较0.5和0.25，从十分位开始比较，0.5 > 0.25。,
题目_小学,表达式数字变量3x+23倍x加上2,简单的代数表达式,代数表达式包含数字和变量。例如，表达式 \(3x + 2\) 表示3倍的 \(x\) 加上2。,
题目_小学,等式性质等式两边加减同一个数等式成立乘以同一个数除以同一个数非零数,等式的性质,等式两边同时加上或减去同一个数，等式仍然成立。例如，如果 \(a = b\)，则 \(a + c = b + c\)。等式两边同时乘以或除以同一个非零数，等式仍然成立。例如，如果 \(a = b\)，则 \(a \times c = b \times c\)。,
题目_小学,方程等式求解解方程,简单的方程,简单的方程可以通过等式的性质求解。例如，解方程 \(x + 3 = 7\)，两边同时减去3，得到 \(x = 4\)。,
题目_小学,不等式性质求解解不等式,简单的不等式,简单的不等式可以通过不等式的性质求解。例如，解不等式 \(x + 2 > 5\)，两边同时减去2，得到 \(x > 3\)。,
题目_小学,比例相等关系,简单的比例,比例是两个比相等的关系。例如，如果 \(a:b = c:d\)，则 \(a \times d = b \times c\)。,
题目_小学,百分比例表示方式百分之几\(\frac{50}{100}\).5,简单的百分比,百分比是比例的一种表示方式，表示一个数是另一个数的百分之几。例如，50%表示 \(\frac{50}{100} = 0.5\)。,
题目_小学,平均数数据总和数据个数数据集,简单的平均数,"平均数是数据的总和除以数据的个数。例如，数据集 \{1, 2, 3, 4, 5\} 的平均数为 \(\frac{1 + 2 + 3 + 4 + 5}{5} = 3\)。",
题目_小学,数据整理表格图表条形图折线图数据变化,简单的数据整理,数据整理可以通过表格或图表完成。例如，通过条形图或折线图展示数据的变化。,
题目_小学,数的顺序大小排列从小到大数列最大,数的顺序与大小,"数的顺序从小到大排列，数越大位置越靠后。例如，数列 1, 2, 3, 4 中，4 是最大的数。",
题目_小学,数的奇偶性奇数偶数整除2,数的奇偶性,奇数不能被2整除，偶数能被2整除。例如，1、3、5 是奇数，2、4、6 是偶数。,
题目_小学,数字位置位值数,数的位值,每个数字在数中的位置决定了它的值。例如，在数 345 中，3 表示300，4 表示40，5 表示5。,
题目_小学,数的近似值四舍五入3.1433.54,数的近似值,数的近似值是通过四舍五入得到的。例如，3.14 近似为 3，3.5 近似为 4。,
题目_小学,数的分解和积3×46+6,数的分解,数可以分解为几个数的和或积。例如，12 可以分解为 3×4 或 6+6。,
题目_小学,数的组合相加相乘新数,数的组合,数的组合是将几个数相加或相乘得到一个新数。例如，3 和 4 组合可以得到 7 或 12。,
题目_小学,倍数整数倍数,数的倍数关系,如果一个数是另一个数的整数倍，则称这个数是另一个数的倍数。例如，12 是 3 的倍数。,
题目_小学,因数整除数,数的因数关系,如果一个数能被另一个数整除，则称这个数是另一个数的因数。例如，3 是 12 的因数。,
题目_小学,数的顺序从小到大从大到小,数的顺序排列,"数可以按照从小到大或从大到小的顺序排列。例如，1, 2, 3, 4 是从小到大的顺序。",
题目_小学,数的比较大小关系符号<>=,数的比较,数的比较可以通过大小关系符号（<、>、=）来表示。例如，3 < 5，7 > 4，6 = 6。,
题目_小学,运算顺序乘除加减括号优先,数的运算顺序,数的运算顺序是先乘除后加减，括号内的运算优先。例如，(3 + 2) × 4 = 20。,
题目_小学,数的估算近似计算快速判断结果范围估算例子,数的估算,数的估算是对数的近似计算，通常用于快速判断结果的范围。例如，估算 29×31 可以近似为 30×30 = 900。,
题目_小学,数的整数小数分数,数的分类,数可以分为整数、小数、分数等。例如，1 是整数，0.5 是小数，\(\frac{1}{2}\) 是分数。,
题目_小学,数的性质奇偶性正负性正数负数,数的性质,数的性质包括奇偶性、正负性等。例如，正数大于0，负数小于0。,
题目_小学,数表示数字字母符号未知数,数的表示,数可以用数字、字母或符号来表示。例如，数字 5，字母 x 表示未知数。,
题目_小学,数的运算规则加法减法乘法除法,数的运算规则,数的运算规则包括加法、减法、乘法、除法等。例如，3 + 4 = 7，8 - 2 = 6，2 × 3 = 6，12 ÷ 4 = 3。,
题目_小学,数的运算结果整数小数分数,数的运算结果,数的运算结果可以是整数、小数或分数。例如，3 + 4 = 7（整数），1 ÷ 2 = 0.5（小数），2 ÷ 3 = \(\frac{2}{3}\)（分数）。,
题目_小学,数的读写数位顺序数字读作写作,数的读写,数的读写需要按照数位顺序进行。例如，数字 3045 读作'三千零四十五'，写作 3045。,
题目_小学,数的位数数字个数三位数四位数,数的位数,数的位数是指一个数所包含的数字个数。例如，123 是三位数，4567 是四位数。,
题目_小学,加法减法进位借位和个位,数的进位与借位,在加法中，当某一位的和超过10时需要进位；在减法中，当某一位的数不够减时需要借位。例如，28 + 35 = 63（个位进位），42 - 18 = 24（个位借位）。,
题目_小学,数的估算四舍五入十位百位千位近似,数的估算方法,数的估算可以通过四舍五入到最接近的十位、百位或千位等。例如，估算 47 + 53 可以近似为 50 + 50 = 100。,
题目_小学,数的倍数特征快速判断个位或55的倍数各位数字之和3的倍数,数的倍数特征,数的倍数特征可以帮助快速判断一个数是否是某个数的倍数。例如，一个数的个位是0或5，它是5的倍数；一个数的各位数字之和是3的倍数，这个数是3的倍数。,
题目_小学,数的因数对因数相乘2(12)(26)(34),数的因数对,"数的因数对是指两个数相乘等于该数的两个因数。例如，12 的因数对有 (1, 12)、(2, 6) 和 (3, 4)。",
题目_小学,数的平方乘以自己39,数的平方,数的平方是指一个数乘以它自己。例如，3 的平方是 \(3 \times 3 = 9\)。,
题目_小学,数的立方乘以自己两次2的立方8,数的立方,数的立方是指一个数乘以它自己两次。例如，2 的立方是 \(2 \times 2 \times 2 = 8\)。,
题目_小学,倒数相乘分数,数的倒数,数的倒数是指与该数相乘等于1的数。例如，2 的倒数是 \(\frac{1}{2}\)，\(\frac{1}{3}\) 的倒数是 3。,
题目_小学,数的近似值精确值四舍五入原始数值,数的近似与精确值,数的近似值是经过四舍五入后的值，精确值是原始数值。例如，3.14159 的近似值是 3.14，精确值是 3.14159。,
题目_小学,数的比较排序大小关系符号<>=从小到大从大到小,数的比较与排序,"数的比较可以通过大小关系符号（<、>、=）来完成，排序可以按照从小到大或从大到小的顺序。例如，排序 5, 3, 8, 1 得到 1, 3, 5, 8。",
题目_小学,数的分组子集一组数若干个子集,数的分组,"数的分组是将一组数分成若干个子集。例如，将 1, 2, 3, 4, 5 分成两组可以是 (1, 2, 3) 和 (4, 5)。",
题目_小学,数的模式数列规律,数的模式,"数的模式是指数列中的规律。例如，数列 2, 4, 6, 8 的模式是每次加2。",
题目_小学,数的规律数列增减趋势周期性观察,数的规律,"数的规律可以通过观察数列的增减趋势、周期性等来发现。例如，数列 1, 3, 5, 7 的规律是每次加2。",
题目_小学,数图形表示数轴点阵图单位位置,数的图形表示,数可以用图形（如数轴、点阵图）来表示。例如，在数轴上，3 表示从0向右3个单位的位置。,
题目_小学,加法交换律结合律乘法交换律结合律分配律,数的运算定律,数的运算定律包括加法交换律、结合律，乘法交换律、结合律和分配律等。,
题目_小学,数的运算性质加法乘法交换律结合律减法除法顺序性,数的运算性质,数的运算性质包括加法和乘法的交换律、结合律，以及减法和除法的顺序性。,
题目_小学,数的运算技巧凑整法分解法估算快速计算,数的运算技巧,数的运算技巧包括凑整法、分解法、估算等，帮助快速计算。例如，计算 19 + 21 可以先凑成 20 + 20 = 40。,
题目_小学,数的运算策略括号内先乘除后加减计算,数的运算策略,数的运算策略包括先算括号内的内容、先乘除后加减等。例如，计算 \(3 + (4 \times 2)\) 时，先算括号内的 \(4 \times 2 = 8\)，再算 \(3 + 8 = 11\)。,
题目_小学,数的运算规则购物计算总价找零单价总价,数的运算规则的应用,数的运算规则可以应用于实际问题，如购物时计算总价、找零等。例如，购买3个单价为5元的物品，总价为 \(3 \times 5 = 15\) 元。,
题目_小学,自然数整数分数小数正整数负整数,数的分类与特点,数可以分为自然数、整数、分数、小数等。自然数从1开始，整数包括正整数、0和负整数。,
题目_小学,数的顺序相邻数连续前驱后继,数的顺序与相邻数,数的顺序是连续的，每个数都有一个前驱和一个后继。例如，5的前驱是4，后继是6。,
题目_小学,数的倍数因数小于或等于大于或等于23628,数的倍数与因数的关系,一个数的因数一定小于或等于这个数，而倍数一定大于或等于这个数。例如，6的因数有1、2、3、6，6的倍数有6、12、18等。,
题目_小学,数的整除性整除倍数因数,数的整除性,如果一个数能被另一个数整除，那么这个数是另一个数的倍数，另一个数是这个数的因数。例如，12能被3整除，所以12是3的倍数，3是12的因数。,
题目_小学,数的分解质因数合数质数乘积,数的分解质因数,将一个合数分解为若干个质数的乘积。例如，12可以分解为 \(2 \times 2 \times 3\)。,
题目_小学,公因数公倍数因数倍数共有,数的公因数与公倍数,公因数是两个或多个数共有的因数，公倍数是两个或多个数共有的倍数。例如，12和18的公因数有1、2、3、6，公倍数有36、72等。,
题目_小学,最小公倍数最大公因数活动时间分配物品3天5天5天,数的最小公倍数与最大公因数的应用,最小公倍数和最大公因数可以用于解决实际问题，如安排活动时间、分配物品等。例如，两个活动分别每3天和每5天举行一次，它们下一次同时举行的时间是15天后。,
题目_小学,分数整数分子部分分母整体,数的分数表示,分数可以表示为两个整数的比，其中分子表示部分，分母表示整体。例如，\(\frac{3}{4}\) 表示3个部分中的4个整体。,
题目_小学,小数表示整数部分小数部分组合3.14,数的小数表示,小数可以表示为整数部分和小数部分的组合。例如，3.14表示3加上小数部分0.14。,
题目_小学,百分数分数百分之几50%\(\frac{50}{100}\).5,数的百分数表示,百分数是一种特殊的分数，表示一个数是另一个数的百分之几。例如，50%表示 \(\frac{50}{100} = 0.5\)。,
题目_小学,比例两个数相等2:3分数比例关系,数的比与比例,比是两个数之间的关系，比例是两个比相等的关系。例如，2:3 表示2与3的比，\(\frac{2}{3} = \frac{4}{6}\) 表示比例关系。,
题目_小学,数的单位换算长度面积体积质量转换米厘米千克克,数的单位换算,数的单位换算包括长度、面积、体积、质量等单位之间的转换。例如，1米 = 100厘米，1千克 = 1000克。,
题目_小学,数的估算精确计算近似结果准确结果,数的估算与精确计算,估算用于快速得出近似结果，精确计算用于得出准确结果。例如，估算 \(29 \times 31\) 可以近似为 \(30 \times 30 = 900\)，精确计算为 \(29 \times 31 = 899\)。,
题目_小学,近似值精确度小数点位数,数的近似值的精确度,近似值的精确度取决于小数点后的位数。例如，3.14精确到小数点后两位，3.14159精确到小数点后五位。,
题目_小学,数的运算逆运算加法减法乘法除法,数的运算中的逆运算,加法的逆运算是减法，乘法的逆运算是除法。例如，如果 \(a + b = c\)，则 \(c - b = a\)；如果 \(a \times b = c\)，则 \(c \div b = a\)。,
题目_小学,等价变换运算规则表达式等价运算,数的运算中的等价变换,等价变换是指通过运算规则将一个表达式转换为另一个等价的表达式。例如，\(a \times (b + c) = a \times b + a \times c\)。,
题目_小学,恒等式数的运算等式成立\(a+=a\)\(a\times=a\),数的运算中的恒等式,恒等式是指在任何情况下都成立的等式。例如，\(a + 0 = a\)，\(a \times 1 = a\)。,
题目_小学,特殊值运算特殊性质加法恒等元乘法,数的运算中的特殊值,特殊值是指在运算中具有特殊性质的数。例如，0在加法中是恒等元，1在乘法中是恒等元。,
题目_小学,零因子相乘结果,数的运算中的零因子,零因子是指与某个数相乘结果为0的数。例如，0是任何数的零因子，因为 \(a \times 0 = 0\)。,
题目_小学,单位元运算保持不变加法乘法,数的运算中的单位元,单位元是指在运算中保持其他数不变的数。例如，加法的单位元是0，乘法的单位元是1。,
题目_小学,逆元运算单位元加法相反数乘法倒数,数的运算中的逆元,逆元是指与某个数进行运算后结果为单位元的数。例如，加法的逆元是相反数，乘法的逆元是倒数。,
题目_小学,封闭性数的运算整数加法减法除法,数的运算中的封闭性,封闭性是指在某种运算下，结果仍然属于同一类数。例如，整数在加法和减法下是封闭的，但除法下不是封闭的。,
题目_小学,结合性运算顺序加法乘法,数的运算中的结合性,结合性是指运算的顺序不影响结果。例如，加法和乘法是结合的，即 \((a + b) + c = a + (b + c)\)，\((a \times b) \times c = a \times (b \times c)\)。,
题目_小学,交换性运算顺序加法乘法,数的运算中的交换性,交换性是指运算的顺序可以交换。例如，加法和乘法是交换的，即 \(a + b = b + a\)，\(a \times b = b \times a\)。,
题目_小学,分配性运算乘法加法,数的运算中的分配性,分配性是指一个运算可以分配到另一个运算上。例如，乘法对加法有分配性，即 \(a \times (b + c) = a \times b + a \times c\)。,
题目_小学,奇数偶数运算加法奇偶性,数的奇偶性与运算,奇数加奇数等于偶数，偶数加偶数等于偶数，奇数加偶数等于奇数。例如，3（奇数）+ 5（奇数）= 8（偶数）。,
题目_小学,正数负数运算绝对值,数的正负性与运算,正数加正数为正数，负数加负数为负数，正数加负数取决于绝对值大小。例如，5 + (-3) = 2。,
题目_小学,数绝对值距离非负,数的绝对值,一个数的绝对值是它与0的距离，总是非负的。例如，\(|-3| = 3\)，\(|5| = 5\)。,
题目_小学,相反数相加等于0正数负数,数的相反数,一个数的相反数是与它相加等于0的数。例如，3的相反数是-3，-2的相反数是2。,
题目_小学,倒数乘法相乘分数,数的倒数与乘法,一个数的倒数是与它相乘等于1的数。例如，4的倒数是\(\frac{1}{4}\)，\(\frac{1}{2}\)的倒数是2。,
题目_小学,四则混合运算运算顺序先乘除后加减括号优先,数的四则混合运算,四则混合运算需要遵循运算顺序：先乘除后加减，括号内的运算优先。例如，\(3 + 4 \times 2 = 3 + 8 = 11\)。,
题目_小学,估算实际应用快速判断结果范围购物总价四舍五入整数,数的估算与实际应用,估算可以帮助快速判断结果的范围，适用于实际问题。例如，估算购物总价时，可以将价格四舍五入到整数。,
题目_小学,倍数实际应用分配物品计算周期活动,数的倍数与实际应用,倍数关系可以用于解决实际问题，如分配物品、计算周期等。例如，每3天一次活动，15天内会举行5次。,
题目_小学,因数实际应用分组分配24个物品每组2个3个4个6个8个2个,数的因数与实际应用,因数关系可以用于解决实际问题，如分组、分配等。例如，24个物品可以分成每组2个、3个、4个、6个、8个或12个。,
题目_小学,分数部分与整体分配物品计算比例蛋糕\(\frac{1}{4}\),数的分数与实际应用,分数可以用于表示部分与整体的关系，如分配物品、计算比例等。例如，一个蛋糕分给4个人，每人得到\(\frac{1}{4}\)。,
题目_小学,小数精确数值测量长度重量米千克,数的小数与实际应用,小数可以用于表示精确的数值，如测量长度、重量等。例如，长度为3.14米，重量为2.5千克。,
题目_小学,百分数比例关系折扣增长率原价,数的百分数与实际应用,百分数可以用于表示比例关系，如折扣、增长率等。例如，商品打8折，即为原价的80%。,
题目_小学,两个量速度比例速度3:2.5倍,数的比与实际应用,比可以用于表示两个量之间的关系，如速度、比例等。例如，速度比为3:2，表示一个物体的速度是另一个物体的1.5倍。,
题目_小学,方程未知数苹果价格解方程,数的方程与实际应用,方程可以用于解决实际问题，如求解未知数。例如，购买3个苹果花费15元，设每个苹果价格为x元，解方程 \(3x = 15\) 得到 \(x = 5\)。,
题目_小学,不等式实际应用比较大小限制条件容器体积,数的不等式与实际应用,不等式可以用于解决实际问题，如比较大小、限制条件等。例如，一个容器最多能装5升水，设水的体积为x升，不等式为 \(x \leq 5\)。,
题目_小学,数图形表示数轴坐标系数的关系数的大小关系点的位置,数的图形表示与实际应用,数可以用图形（如数轴、坐标系）表示，帮助理解数的关系。例如，在数轴上表示数的大小关系，或在坐标系中表示点的位置。,
题目_小学,数的运算定律实际应用简化计算加法交换律乘法分配律,数的运算定律与实际应用,运算定律可以帮助简化计算，如加法交换律、乘法分配律等。例如，计算 \(2 \times (3 + 4)\) 可以先计算 \(2 \times 3 + 2 \times 4\)。,
题目_小学,数的运算性质运算规则加法的逆运算乘法的结合律除法乘法的逆运算,数的运算性质与实际应用,运算性质可以帮助理解数的运算规则，如加法的逆运算、乘法的结合律等。例如，计算 \(12 \div 3 = 4\)，利用了除法是乘法的逆运算。,
题目_小学,数的运算运算技巧快速计算凑整法分解法计算,数的运算技巧与实际应用,运算技巧可以帮助快速计算，如凑整法、分解法等。例如，计算 \(29 \times 5\) 可以先计算 \(30 \times 5 = 150\)，再减去 \(1 \times 5 = 5\)，得到145。,
题目_小学,运算策略复杂问题括号先乘除后加减计算,数的运算策略与实际应用,运算策略可以帮助解决复杂问题，如先算括号内的内容、先乘除后加减等。例如，计算 \(3 + (4 \times 2)\) 时，先算括号内的 \(4 \times 2 = 8\)，再算 \(3 + 8 = 11\)。,
题目_小学,数的运算规则数学计算购物总价分配物品数量,数的运算规则与实际应用,运算规则是数学计算的基础，适用于各种实际问题。例如，计算购物总价、分配物品数量等。,
题目_小学,平均数数据总和数据个数公式数据集,数的平均数公式,"平均数是数据的总和除以数据的个数。公式为：\(\text{平均数} = \frac{\text{数据总和}}{\text{数据个数}}\)。例如，数据集 \{1, 2, 3, 4, 5\} 的平均数为 \(\frac{1 + 2 + 3 + 4 + 5}{5} = 3\)。",
题目_小学,中位数数据排序中间值奇数中间的数偶数中间两个数平均值数据集,数的中位数公式,"中位数是数据排序后的中间值。如果数据个数为奇数，中位数是中间的数；如果数据个数为偶数，中位数是中间两个数的平均值。例如，数据集 \{1, 2, 3, 4, 5\} 的中位数为3，数据集 \{1, 2, 3, 4\} 的中位数为 \(\frac{2 + 3}{2} = 2.5\)。",
题目_小学,众数数据出现次数最多数据集,数的众数公式,"众数是数据中出现次数最多的值。例如，数据集 \{1, 2, 2, 3, 4\} 的众数为2。",
题目_小学,平方公式乘以\(a^2\)\(a\timesa\)3的平方\(3^2\)9,数的平方公式,一个数的平方是该数乘以它自己。公式为：\(a^2 = a \times a\)。例如，3的平方是 \(3^2 = 9\)。,
题目_小学,数的立方立方公式\(a^3=a\timesa\timesa\)2的立方\(2^3=8\),数的立方公式,一个数的立方是该数乘以它自己两次。公式为：\(a^3 = a \times a \times a\)。例如，2的立方是 \(2^3 = 8\)。,
题目_小学,倒数公式除以该数\(\frac{1}{a}\)\(\frac{1}{4}\),数的倒数公式,一个数的倒数是1除以该数。公式为：\(\text{倒数} = \frac{1}{a}\)。例如，4的倒数是 \(\frac{1}{4}\)。,
题目_小学,百分部分整体比例百分数公式,数的百分比公式,百分比是部分与整体的比例，表示为百分数。公式为：\(\text{百分比} = \frac{\text{部分}}{\text{整体}} \times 100\%\)。例如，50%表示 \(\frac{50}{100} = 0.5\)。,
题目_小学,比例比值公式相等关系\(a:b=c:d\)\(a\timesd=b\timesc\),数的比与比例公式,比是两个数的比值，比例是两个比相等的关系。公式为：\(a:b = c:d\)，则 \(a \times d = b \times c\)。例如，2:3 = 4:6。,
题目_小学,分数加减法公共分母公式\(\frac{a}{b}+\frac{c}{d}=\frac{ad+bc}{bd}\)\(\frac{a}{b}-\frac{c}{d}=\frac{ad-bc}{bd}\)例子\(\frac{1}{2}+\frac{1}{3}=\frac{3}{6}+\frac{2}{6}=\frac{5}{6}\),数的分数加减法公式,分数的加减法需要找到公共分母。公式为：\(\frac{a}{b} + \frac{c}{d} = \frac{ad + bc}{bd}\)，\(\frac{a}{b} - \frac{c}{d} = \frac{ad - bc}{bd}\)。例如，\(\frac{1}{2} + \frac{1}{3} = \frac{3}{6} + \frac{2}{6} = \frac{5}{6}\)。,
题目_小学,分数乘法分子分母除法倒数公式,数的分数乘除法公式,分数的乘法是分子乘分子，分母乘分母；分数的除法是乘以倒数。公式为：\(\frac{a}{b} \times \frac{c}{d} = \frac{ac}{bd}\)，\(\frac{a}{b} \div \frac{c}{d} = \frac{a}{b} \times \frac{d}{c} = \frac{ad}{bc}\)。例如，\(\frac{1}{2} \times \frac{3}{4} = \frac{3}{8}\)。,
题目_小学,简单方程等式性质求解公式等式两边加法减法乘法除法解方程,数的简单方程公式,简单方程可以通过等式的性质求解。公式为：如果 \(a = b\)，则 \(a + c = b + c\)，\(a - c = b - c\)，\(a \times c = b \times c\)，\(a \div c = b \div c\)（\(c \neq 0\)）。例如，解方程 \(x + 3 = 7\)，两边同时减去3，得到 \(x = 4\)。,
题目_小学,简单不等式不等式性质求解公式大于加法减法乘法除法解不等式两边同时减去,数的简单不等式公式,简单不等式可以通过不等式的性质求解。公式为：如果 \(a > b\)，则 \(a + c > b + c\)，\(a - c > b - c\)，\(a \times c > b \times c\)（\(c > 0\)），\(a \div c > b \div c\)（\(c > 0\)）。例如，解不等式 \(x + 2 > 5\)，两边同时减去2，得到 \(x > 3\)。,
题目_小学,比例相等公式\(a:b=c:d\)\(a\timesd=b\timesc\)例子\(2:3=4:6\)\(2\times6=3\times4\),数的简单比例公式,比例是两个比相等的关系。公式为：如果 \(a:b = c:d\)，则 \(a \times d = b \times c\)。例如，如果 \(2:3 = 4:6\)，则 \(2 \times 6 = 3 \times 4\)。,
题目_小学,百分比例表示方式部分整体公式,数的简单百分比公式,百分比是比例的一种表示方式，表示一个数是另一个数的百分之几。公式为：\(\text{百分比} = \frac{\text{部分}}{\text{整体}} \times 100\%\)。例如，50%表示 \(\frac{50}{100} = 0.5\)。,
